Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC
  5 26.3 0.113  0.0  151.1 0.258  72.6  25.13  -3.7e+37    24.6  0.04    4.4   99798.1   7.4e+35   -298.53   2.57   90.0     6.0        - 5.33572  ejected
  5 27.2 0.233  0.0  297.9 0.179  76.5  21.17  -3.3e+37   27.24  0.25    0.5   99878.3   1.3e+35  -1666.61  30.89   71.4     6.0        - 5.66716  ejected
  5 25.3 0.112  0.0   90.5 0.547  50.7  25.01    -4e+37   22.87  0.09    2.7  100011.2   1.9e+36   -118.19  55.03   97.0     6.0        - 5.07214  ejected
  5 27.3 0.003  0.0  210.4  0.11 158.8  12.96  -3.6e+37   25.16  0.51   18.4   99993.0   4.8e+35   -456.66  70.05  140.5     6.0        - 5.35819  ejected
  5 25.7   0.2  0.0  309.3 0.014   5.4  30.45  -3.5e+37   25.73   0.2   23.2     268.8  -7.9e+35    279.98   0.09  153.3     9.0        -     9.0        -
  5 25.2 0.042  0.0  186.7 0.125  30.0  18.75  -4.4e+37   20.73  0.33    8.0   99999.9   5.7e+36    -38.52  26.07   50.1     5.0        - 4.82927  ejected
  5 25.6 0.162  0.0   70.9  0.28 138.6  21.41  -4.2e+37    21.6   0.1    1.9  100008.9   2.6e+36     -85.0  11.32   36.7     5.0        - 4.98706  ejected
  5 27.8 0.145  0.0  268.4  0.41 111.5  27.41  -3.3e+37   27.78  0.18   32.7     141.7  -1.2e+36    179.91   0.33   55.0     9.0        -     9.0        -
  5 26.6  0.13  0.0   79.8 0.242 160.5  33.65  -3.2e+37   28.72  0.17   32.7   99738.7      -nan      -0.0    nan    nan     5.0        - 4.19727  ejected
  5 25.3 0.284  0.0  194.4  0.26  19.9  16.94  -5.1e+37   17.73  0.24   15.0  100000.2   1.3e+37    -16.44  93.57  135.1     5.0        - 4.67174  ejected
  5 23.5 0.229  0.0  104.0 0.019  92.2  39.23  -3.9e+37   23.15  0.79   60.1   99581.3     7e+34  -3152.41   1.03    7.5     7.0        - 6.23871  ejected
  5 26.7 0.473  0.0  124.6 0.509  63.2  26.62  -4.3e+37   21.05   0.5    2.3  100005.3   5.4e+36    -40.68   47.8   47.6     5.0        - 4.86962  ejected
  5 27.1 0.064  0.0  446.8 0.678 178.4  25.02  -3.4e+37   27.09  0.08    5.1    1249.1  -3.2e+35    698.95   0.84  173.7     9.0        -     9.0        -
  5 27.3 0.441  0.0  404.3 0.587 116.0  32.14  -3.3e+37   27.32  0.47    0.1  100001.8   3.9e+35   -574.38  78.22   27.1     6.0        -  5.4207  ejected
  5 27.0 0.511  0.0  500.2  0.53  29.9  30.67  -3.4e+37   26.95  0.51    0.1   99708.3   5.4e+35   -412.68  32.94  124.4     6.0        - 5.32404  ejected
  5 27.7 0.129  0.0  254.9 0.024   3.4  25.22  -3.3e+37   27.66  0.13    0.0   99988.8   2.2e+36   -102.41  67.85  179.9     6.0        - 5.03757  ejected
  5 25.9 0.007  0.0  195.8 0.324 107.9  26.18  -3.5e+37   25.87  0.02   38.7     128.4  -7.9e+35    278.72   0.56   23.8     9.0        -     9.0        -
  5 24.1 0.203  0.0  556.3 0.573   5.7  23.43  -3.8e+37   24.12   0.2    0.0   99995.5   1.3e+36    -171.4  72.01    7.7     6.0        - 5.14689  ejected
  5 26.8 0.491  0.0  120.5 0.135 105.6  37.88  -2.5e+37   37.11  0.77   47.0   99563.0   1.7e+34 -13381.94   1.01   81.7     7.0        - 6.89845  ejected
  5 27.3 0.359  0.0  420.4   0.5  21.4  33.94  -3.3e+37   27.32   0.3  100.4    2439.7  -1.5e+35   1467.54   0.67   93.5     9.0        -     9.0        -
  5 25.6 0.081  0.0  176.8 0.146  14.7  28.89    -4e+37   23.03  0.34   13.9   99994.9   1.8e+36   -126.46  28.67   65.1     6.0        - 5.10416  ejected
  5 24.2 0.353  0.0  360.5 0.359  23.8  27.56  -3.8e+37   24.15  0.36    0.2   99814.4   7.2e+35   -307.95    4.0    4.2     6.0        - 5.26235  ejected
  5 24.3 0.033  0.0  333.0  0.49  19.1  19.48  -4.8e+37   18.84  0.38   15.9   99997.9   1.1e+37    -21.01  86.16  151.6     6.0        - 5.17401  ejected
  5 26.4 0.224  0.0  634.7 0.536 130.2  21.09  -3.5e+37   26.39  0.23    0.3   99992.4   1.6e+36    -136.0 119.83  121.3     6.0        - 5.09851  ejected
  5 26.1 0.015  0.0  293.0 0.385 112.9  39.33  -3.5e+37    25.9  0.52   25.7   88584.6     2e+33 -113133.89    1.0   37.4     9.0        - 8.27004  ejected
  6 26.5 0.337  0.0  225.4 0.384 101.3  31.41  -3.4e+37   26.52  0.38  120.2    1999.4  -9.3e+34   2385.15    0.9    6.4     9.0        -     9.0        -
  6 25.7 0.365  0.0  122.4 0.033  94.6  32.06  -3.5e+37   25.72  0.37    0.2   99720.2   6.3e+35   -350.52  23.31  139.7     6.0        - 5.26235  ejected
  6 25.9 0.098  0.0  158.9 0.081  31.8  19.35  -3.9e+37   23.54  0.37   19.6   99992.6   2.6e+36    -85.15  66.83   90.6     6.0        - 5.00708  ejected
  6 26.4 0.266  0.0  334.5 0.737 102.8  31.14  -3.5e+37    26.4  0.24    0.1   99989.8     1e+35   -2137.4   7.59  148.9     6.0        - 5.60716  ejected
  6 24.9 0.175  0.0  263.5 0.293 133.0  14.63  -5.2e+37   17.38   0.2   17.5   99966.2   1.4e+37    -15.66 161.42  139.0     5.0        - 4.65627  ejected
  6 28.0 0.313  0.0  515.9 0.306 123.7  30.85  -3.3e+37   28.02  0.32    0.4   99989.0   2.6e+36    -83.79 126.06   82.7     5.0        - 4.98706  ejected
  6 23.8 0.109  0.0  321.5 0.282  68.9  24.59  -3.8e+37   23.79  0.11    0.2   99999.0   1.4e+36    -160.7 130.91  107.6     6.0        - 5.12871  ejected
  6 28.0  0.28  0.0  393.6 0.545  20.5  31.07  -3.3e+37   27.95  0.27    0.0   99947.1   6.9e+34  -3195.76   2.08   10.4     6.0        - 5.70954  ejected
  6 27.3 0.086  0.0  290.7  0.05  55.5  24.64  -3.4e+37   26.53  0.18   19.5   99924.5   5.1e+35    -429.8  14.21  130.9     6.0        -  5.3155  ejected
  6 26.9 0.495  0.0  567.5 0.686 100.7  39.96  -3.4e+37   26.94   0.5    0.0  100005.9   6.6e+35   -333.83  29.61  153.9     6.0        - 5.26816  ejected
