Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC      dEAB     dEpsC
  2 24.6 0.378  0.0  307.6 0.208  64.7   17.9 -6.07e+06   17.98  0.09   14.0   99589.2  3.36e+04  -4872.27   1.38  127.1     7.0        - 6.31539  ejected -1.63e+06  8.65e+05
  2 25.8  0.09  0.0  193.2 0.025  59.6  24.84 -4.23e+06   25.79  0.51   16.1   25643.3 -9.97e+03  16413.72   0.65  103.5     9.0        -     9.0        -  4.74e+03 -5.67e+05
  2 26.6  0.46  0.0  596.3 0.447   9.1  27.37  -4.1e+06   26.59  0.11    2.1  100007.3  1.15e+05  -1425.99   4.76   33.0     7.0        - 6.11397  ejected     -3.53 -5.11e+05
  2 26.7 0.092  0.0  862.0 0.666 105.5  35.31 -4.08e+06   26.73  0.33    4.5   99740.0  1.13e+05  -1445.84   4.34   48.6     7.0        - 6.14383  ejected -1.49e+03 -5.66e+05
  2 25.9  0.04  0.0  485.4 0.555  39.4  32.19 -4.21e+06   25.92  0.26    5.3   99433.7  1.01e+05  -1620.75   3.77  111.0     7.0        - 6.11924  ejected -2.88e+03 -5.58e+05
  2 27.1 0.483  0.0  535.3 0.615  23.6 100000.0       inf    -0.0   nan    nan   72893.0      -nan       nan    nan    nan 4.52916  ejected 4.44824  ejected       inf      -nan
  2 27.6 0.384  0.0  348.5 0.262 100.1  41.63 -3.92e+06   27.83  0.89   87.1    9561.5 -2.67e+04   6121.41   0.87   88.3     9.0        -     9.0        -  2.78e+04 -1.09e+05
  2 26.4 0.069  0.0  301.0 0.308  89.7  21.03 -4.13e+06   26.44  0.21    5.4   99789.7  1.37e+05  -1198.18   5.09   87.2     7.0        - 6.10106  ejected  2.71e+03 -5.21e+05
  2 26.7 0.362  0.0  890.2   0.6  35.3  26.26 -4.09e+06   26.72  0.27   10.3    6784.0 -3.91e+04   4188.98   0.64  155.7     9.0        -     9.0        - -2.54e+03 -7.37e+04
  2 25.1 0.173  0.0  699.9 0.614 108.0  29.25 -4.36e+06   25.05  0.51    3.5   99708.9  1.14e+05  -1430.31  12.97   14.2     7.0        - 6.11497  ejected -2.38e+03 -1.07e+06
  2 24.9  0.51  0.0 1183.1 0.744  38.0   30.4 -4.42e+06   24.69   0.3   31.6    4276.4 -6.64e+04   2465.49    0.9   23.0     9.0        -     9.0        - -3.18e+04  3.15e+05
  2 27.1 0.107  0.0  306.5 0.026  73.7  32.25 -4.31e+06   25.32  0.74   30.9   54623.2  1.65e+05   -989.91   1.11   27.0     9.0        - 8.62363  ejected -2.74e+05  6.92e+04
  2 23.9 0.008  0.0  213.6   0.5 158.4    nan  1.04e+06 -104.65 404.92   93.6       nan       nan       nan    nan    nan 5.90888  ejected     6.0        -  5.61e+06       nan
  2 27.0 0.455  0.0  963.5 0.742  59.9   39.5 -4.04e+06   27.01  0.58    3.5   99655.2  1.76e+04  -9277.72   2.92  151.9     7.0        - 6.39762  ejected      -670 -1.01e+06
  2 23.9 0.471  0.0  714.2 0.665 171.6  11.53 -4.58e+06   23.84   0.7    4.8   99990.2  5.23e+05   -313.04  22.72   88.0     6.0        - 5.61299  ejected  3.77e+03 -2.13e+06
  2 24.4 0.274  0.0  236.6 0.298  95.6    nan  3.71e+06  -29.43 513.97   76.8       nan       nan       nan    nan    nan 5.82091  ejected     6.0        -  8.19e+06       nan
  2 24.9 0.311  0.0  496.1 0.401  55.3   25.5 -4.38e+06   24.91   0.2   10.3   99857.7  4.11e+04  -3985.77   1.28  131.9     7.0        - 6.28161  ejected  1.82e+03 -3.42e+05
  2 24.9 0.223  0.0  214.4 0.219  34.2   31.9 -4.92e+06   22.19   0.5   19.9   99866.5   2.8e+04  -5856.99   1.02   56.1     7.0        - 6.42528  ejected  -5.4e+05  3.98e+05
  2 25.0 0.077  0.0  304.7 0.646  66.5 99500.53  6.13e+05 -177.97 391.14   63.6   49723.6  6.86e+05   -238.69 206.09  116.4 6.12543  ejected 6.12561  ejected  4.99e+06  1.31e+06
  2 27.0 0.278  0.0  375.6 0.449  40.0  29.37 -4.04e+06   27.01   0.5   43.4     536.3 -3.23e+05    506.81   0.68  150.4     9.0        -     9.0        -  -2.7e+03 -3.75e+03
  2 25.9 0.115  0.0   83.7 0.444  27.4    nan  1.16e+06  -93.86 687.56  109.7       nan       nan       nan    nan    nan 6.03494  ejected     7.0        -  5.38e+06       nan
  3 26.9 0.208  0.0  232.8 0.412 146.8  14.15 -1.16e+08    7.77  0.96   78.5    7035.1 -1.85e+05   5186.12   0.93   99.5     9.0        -     9.0        -  -6.3e+07  4.63e+06
  3 25.7 0.357  0.0  699.4 0.538 158.7  23.57 -4.25e+06   25.67  0.44    3.3   99741.2  2.95e+05   -555.92  15.42   46.3     7.0        - 6.00071  ejected       412 -1.05e+06
  3 25.8 0.131  0.0  531.3 0.566 139.0  30.85 -4.23e+06   25.81   0.2    5.5   99784.6  5.95e+04  -2753.66   1.18   72.3     7.0        - 6.21827  ejected      -649 -2.88e+05
  3 27.2 0.301  0.0  287.0  0.39  69.1   19.7 -3.97e+06   27.47  0.36   29.9     605.9 -3.23e+05     507.2   0.72   84.0     9.0        -     9.0        -  3.74e+04 -3.35e+04
  3 26.5 0.477  0.0  744.9 0.651  18.3  36.57 -4.12e+06    26.5  0.77    0.8   99937.3  2.01e+05   -814.04  10.72  174.8     6.0        - 5.79767  ejected  2.83e+03 -1.41e+06
  3 26.1 0.064  0.0  192.2 0.621  32.9  42.56 -4.42e+06    24.7   0.8   34.4    8266.7 -2.63e+04   6217.75   0.84   65.6     9.0        -     9.0        - -3.85e+06 -1.69e+06
  3 23.4 0.331  0.0  426.4 0.409  77.4   7.78 -4.66e+06    23.4  0.73    9.8   99985.6   1.5e+05  -1089.88  33.62  133.5     6.0        - 5.89184  ejected -2.93e+03 -2.03e+06
  3 24.7 0.481  0.0  706.7 0.612  65.1  32.54 -4.43e+06   24.66  0.68    3.2   99915.0  5.67e+05   -288.51 112.02  163.4     6.0        - 5.63199  ejected       728 -1.77e+06
  3 26.9 0.183  0.0  133.5 0.278   2.8  29.39 -4.05e+06   26.94  0.13    0.5   99683.0  3.89e+04  -4212.65   1.07  145.2     7.0        - 6.27078  ejected  3.99e+03 -2.78e+05
  3 24.8 0.505  0.0  104.3 0.288  13.0    nan   1.1e+06  -98.84 822.81   89.5       nan       nan       nan    nan    nan 5.79501  ejected     6.0        -   5.5e+06       nan
  3 25.9  0.34  0.0  415.1 0.169 166.6  30.41 -4.89e+06    22.3  0.57   24.3   97828.5  1.06e+04 -15506.62    1.0   50.2     8.0        - 7.35145  ejected -6.86e+05  5.11e+05
  3 27.0  0.03  0.0  217.5 0.146 118.4 100000.0  4.23e+05 -258.06 249.46   42.8   50000.0  1.06e+06   -153.88 198.24  137.3 5.98767  ejected 5.98767  ejected  4.47e+06   1.2e+06
  3 26.9 0.052  0.0  325.8 0.432 123.6  30.83 -4.16e+06   26.25  0.79   25.8   99832.0  1.16e+04 -14123.44   1.06   73.8     7.0        - 6.43682  ejected -9.67e+04 -9.19e+04
  3 25.3 0.207  0.0  375.6 0.328 137.8  26.76 -4.32e+06   25.25  0.07   63.4    2791.3 -9.37e+04   1747.94   0.78   32.4     9.0        -     9.0        -      -527 -6.27e+04
